update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.15,1
1,0.5,10,0.15,1
2,0.5,10,0.15,1
3,0.5,10,0.15,1
4,0.5,10,0.15,1
5,0.5,10,0.15,1
6,0.5,10,0.15,1
7,0.5,10,0.15,1
8,0.5,10,0.15,1
9,0.5,10,0.15,1
10,0.5,10,0.15,1
11,0.5,10,0.15,1
12,0.5,10,0.15,1
13,0.5,10,0.15,1
14,0.5,10,0.15,1
15,0.5,10,0.15,1
16,0.5,10,0.15,1
17,0.5,10,0.15,1
18,0.5,10,0.15,1
19,0.5,10,0.15,1
20,0.267848,12.5544,0.169326,2
21,0.267848,12.5544,0.169326,2
22,0.267848,12.5544,0.169326,2
23,0.267848,12.5544,0.169326,2
24,0.267848,12.5544,0.169326,2
25,0.267848,12.5544,0.169326,2
26,0.267848,12.5544,0.169326,2
27,0.267848,12.5544,0.169326,2
28,0.267848,12.5544,0.169326,2
29,0.267848,12.5544,0.169326,2
30,0.267848,12.5544,0.169326,2
31,0.267848,12.5544,0.169326,2
32,0.267848,12.5544,0.169326,2
33,0.267848,12.5544,0.169326,2
34,0.267848,12.5544,0.169326,2
35,0.267848,12.5544,0.169326,2
36,0.267848,12.5544,0.169326,2
37,0.267848,12.5544,0.169326,2
38,0.267848,12.5544,0.169326,2
39,0.267848,12.5544,0.169326,2
40,0.50967,12.6665,0.112884,3
41,0.50967,12.6665,0.112884,3
42,0.50967,12.6665,0.112884,3
43,0.50967,12.6665,0.112884,3
44,0.50967,12.6665,0.112884,3
45,0.50967,12.6665,0.112884,3
46,0.50967,12.6665,0.112884,3
47,0.50967,12.6665,0.112884,3
48,0.50967,12.6665,0.112884,3
49,0.50967,12.6665,0.112884,3
50,0.496657,11.3288,0.075,2
51,0.496657,11.3288,0.075,2
52,0.496657,11.3288,0.075,2
53,0.496657,11.3288,0.075,2
54,0.496657,11.3288,0.075,2
55,0.496657,11.3288,0.075,2
56,0.496657,11.3288,0.075,2
57,0.496657,11.3288,0.075,2
58,0.496657,11.3288,0.075,2
59,0.57774,11.8266,0.0767358,3
60,0.57774,11.8266,0.0767358,3
61,0.57774,11.8266,0.0767358,3
62,0.57774,11.8266,0.0767358,3
63,0.57774,11.8266,0.0767358,3
64,0.57774,11.8266,0.0767358,3
65,0.57774,11.8266,0.0767358,3
66,0.488126,13.4547,0.0743739,4
67,0.488126,13.4547,0.0743739,4
68,0.488126,13.4547,0.0743739,4
