update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.13,1
1,0.5,10,0.13,1
2,0.5,10,0.13,1
3,0.5,10,0.13,1
4,0.5,10,0.13,1
5,0.5,10,0.13,1
6,0.5,10,0.13,1
7,0.5,10,0.13,1
8,0.5,10,0.13,1
9,0.5,10,0.13,1
10,0.5,10,0.13,1
11,0.5,10,0.13,1
12,0.5,10,0.13,1
13,0.5,10,0.13,1
14,0.5,10,0.13,1
15,0.5,10,0.13,1
16,0.5,10,0.13,1
17,0.5,10,0.13,1
18,0.5,10,0.13,1
19,0.5,10,0.13,1
20,0.5,11.9814,0.168908,2
21,0.5,11.9814,0.168908,2
22,0.5,11.9814,0.168908,2
23,0.5,11.9814,0.168908,2
24,0.5,11.9814,0.168908,2
25,0.5,11.9814,0.168908,2
26,0.5,11.9814,0.168908,2
27,0.5,11.9814,0.168908,2
28,0.5,11.9814,0.168908,2
29,0.5,11.9814,0.168908,2
30,0.5,11.9814,0.168908,2
31,0.5,11.9814,0.168908,2
32,0.5,11.9814,0.168908,2
33,0.5,11.9814,0.168908,2
34,0.5,11.9814,0.168908,2
35,0.5,11.9814,0.168908,2
36,0.5,11.9814,0.168908,2
37,0.5,11.9814,0.168908,2
38,0.5,11.9814,0.168908,2
39,0.5,11.9814,0.168908,2
40,0.432237,13.9573,0.23303,3
41,0.432237,13.9573,0.23303,3
42,0.432237,13.9573,0.23303,3
43,0.432237,13.9573,0.23303,3
44,0.432237,13.9573,0.23303,3
45,0.432237,13.9573,0.23303,3
46,0.432237,13.9573,0.23303,3
47,0.432237,13.9573,0.23303,3
48,0.432237,13.9573,0.23303,3
49,0.573544,15.7476,0.213406,4
50,0.573544,15.7476,0.213406,4
51,0.573544,15.7476,0.213406,4
52,0.573544,15.7476,0.213406,4
53,0.573544,15.7476,0.213406,4
54,0.573544,15.7476,0.213406,4
55,0.573544,15.7476,0.213406,4
56,0.573544,15.7476,0.213406,4
57,0.573544,15.7476,0.213406,4
58,0.573544,15.7476,0.213406,4
59,0.573544,15.7476,0.213406,4
60,0.573544,15.7476,0.213406,4
61,0.573544,15.7476,0.213406,4
62,0.573544,15.7476,0.213406,4
63,0.573544,15.7476,0.213406,4
64,0.540307,15.754,0.218951,5
65,0.540307,15.754,0.218951,5
66,0.540307,15.754,0.218951,5
67,0.540307,15.754,0.218951,5
68,0.540307,15.754,0.218951,5
69,0.540307,15.754,0.218951,5
70,0.540307,15.754,0.218951,5
71,0.532672,16.1081,0.211126,6
72,0.532672,16.1081,0.211126,6
73,0.532672,16.1081,0.211126,6
74,0.532672,16.1081,0.211126,6
75,0.532672,16.1081,0.211126,6
76,0.532672,16.1081,0.211126,6
77,0.532672,16.1081,0.211126,6
78,0.532672,16.1081,0.211126,6
79,0.532672,16.1081,0.211126,6
80,0.532672,16.1081,0.211126,6
81,0.532672,16.1081,0.211126,6
82,0.532672,16.1081,0.211126,6
83,0.599796,17.0823,0.184985,7
84,0.599796,17.0823,0.184985,7
85,0.649821,17.6079,0.192746,8
86,0.649821,17.6079,0.192746,8
87,0.649821,17.6079,0.192746,8
88,0.649821,17.6079,0.192746,8
89,0.583437,17.8462,0.19998,9
90,0.583437,17.8462,0.19998,9
91,0.583437,17.8462,0.19998,9
92,0.583437,17.8462,0.19998,9
93,0.583437,17.8462,0.19998,9
94,0.583437,17.8462,0.19998,9
95,0.577394,17.9976,0.199813,10
96,0.577394,17.9976,0.199813,10
97,0.577394,17.9976,0.199813,10
98,0.577394,17.9976,0.199813,10
99,0.577394,17.9976,0.199813,10
100,0.577394,17.9976,0.199813,10
101,0.524903,17.8721,0.187014,11
102,0.524903,17.8721,0.187014,11
103,0.524903,17.8721,0.187014,11
104,0.524903,17.8721,0.187014,11
105,0.524903,17.8721,0.187014,11
106,0.524903,17.8721,0.187014,11
107,0.524903,17.8721,0.187014,11
108,0.576419,18.2107,0.188653,12
109,0.576419,18.2107,0.188653,12
110,0.576419,18.2107,0.188653,12
111,0.576419,18.2107,0.188653,12
112,0.576419,18.2107,0.188653,12
113,0.576419,18.2107,0.188653,12
114,0.628821,18.7627,0.172961,11
115,0.628821,18.7627,0.172961,11
116,0.628821,18.7627,0.172961,11
117,0.628821,18.7627,0.172961,11
118,0.648934,18.6038,0.164121,12
119,0.661588,18.8353,0.178689,13
120,0.661588,18.8353,0.178689,13
121,0.661588,18.8353,0.178689,13
122,0.661588,18.8353,0.178689,13
123,0.661588,18.8353,0.178689,13
124,0.661588,18.8353,0.178689,13
125,0.661588,18.8353,0.178689,13
126,0.661588,18.8353,0.178689,13
127,0.650564,18.8444,0.186349,14
128,0.611028,18.8751,0.188026,15
129,0.623054,19.9408,0.165394,18
130,0.623054,19.9408,0.165394,18
131,0.623054,19.9408,0.165394,18
132,0.623054,19.9408,0.165394,18
133,0.623054,19.9408,0.165394,18
134,0.623054,19.9408,0.165394,18
135,0.63527,20.1464,0.172838,19
136,0.603507,20.0046,0.170829,20
137,0.603507,20.0046,0.170829,20
138,0.603507,20.0046,0.170829,20
139,0.603507,20.0046,0.170829,20
140,0.603507,20.0046,0.170829,20
141,0.603507,20.0046,0.170829,20
142,0.603507,20.0046,0.170829,20
143,0.603507,20.0046,0.170829,20
144,0.597993,20.2111,0.173854,21
145,0.597993,20.2111,0.173854,21
146,0.597993,20.2111,0.173854,21
147,0.597993,20.2111,0.173854,21
