update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.06,1
1,0.5,10,0.06,1
2,0.5,10,0.06,1
3,0.5,10,0.06,1
4,0.5,10,0.06,1
5,0.5,10,0.06,1
6,0.5,10,0.06,1
7,0.5,10,0.06,1
8,0.5,10,0.06,1
9,0.5,10,0.06,1
10,0.5,10,0.06,1
11,0.5,10,0.06,1
12,0.5,10,0.06,1
13,0.5,10,0.06,1
14,0.5,10,0.06,1
15,0.5,10,0.06,1
16,0.5,10,0.06,1
17,0.5,10,0.06,1
18,0.5,10,0.06,1
19,0.5,10,0.06,1
20,0.620158,9.80059,0.110663,2
21,0.620158,9.80059,0.110663,2
22,0.620158,9.80059,0.110663,2
23,0.620158,9.80059,0.110663,2
24,0.620158,9.80059,0.110663,2
25,0.620158,9.80059,0.110663,2
26,0.620158,9.80059,0.110663,2
27,0.620158,9.80059,0.110663,2
28,0.620158,9.80059,0.110663,2
29,0.620158,9.80059,0.110663,2
30,0.620158,9.80059,0.110663,2
31,0.620158,9.80059,0.110663,2
32,0.620158,9.80059,0.110663,2
33,0.620158,9.80059,0.110663,2
34,0.620158,9.80059,0.110663,2
35,0.620158,9.80059,0.110663,2
36,0.620158,9.80059,0.110663,2
37,0.620158,9.80059,0.110663,2
38,0.620158,9.80059,0.110663,2
39,0.56559,9.68317,0.130018,3
40,0.507254,9.47122,0.121675,4
41,0.507254,9.47122,0.121675,4
42,0.507254,9.47122,0.121675,4
43,0.507254,9.47122,0.121675,4
44,0.507254,9.47122,0.121675,4
45,0.507254,9.47122,0.121675,4
46,0.507254,9.47122,0.121675,4
47,0.507254,9.47122,0.121675,4
48,0.507254,9.47122,0.121675,4
49,0.507254,9.47122,0.121675,4
50,0.507254,9.47122,0.121675,4
51,0.507254,9.47122,0.121675,4
52,0.507254,9.47122,0.121675,4
53,0.507254,9.47122,0.121675,4
54,0.507254,9.47122,0.121675,4
55,0.507254,9.47122,0.121675,4
56,0.507254,9.47122,0.121675,4
57,0.507254,9.47122,0.121675,4
58,0.54882,10.479,0.125724,6
59,0.558973,10.2359,0.155308,8
60,0.558973,10.2359,0.155308,8
61,0.558973,10.2359,0.155308,8
62,0.558973,10.2359,0.155308,8
63,0.558973,10.2359,0.155308,8
64,0.558973,10.2359,0.155308,8
65,0.558973,10.2359,0.155308,8
66,0.558973,10.2359,0.155308,8
67,0.558973,10.2359,0.155308,8
68,0.558973,10.2359,0.155308,8
69,0.558973,10.2359,0.155308,8
70,0.558973,10.2359,0.155308,8
71,0.558973,10.2359,0.155308,8
72,0.558973,10.2359,0.155308,8
73,0.558973,10.2359,0.155308,8
74,0.558973,10.2359,0.155308,8
75,0.558973,10.2359,0.155308,8
76,0.5313,10.1183,0.148346,9
77,0.627317,9.78218,0.149063,12
78,0.674338,9.68472,0.155887,14
79,0.707218,10.2119,0.145495,15
80,0.707218,10.2119,0.145495,15
81,0.707218,10.2119,0.145495,15
82,0.707218,10.2119,0.145495,15
83,0.707218,10.2119,0.145495,15
84,0.707218,10.2119,0.145495,15
85,0.707218,10.2119,0.145495,15
86,0.707218,10.2119,0.145495,15
87,0.707218,10.2119,0.145495,15
88,0.707218,10.2119,0.145495,15
89,0.707218,10.2119,0.145495,15
90,0.707218,10.2119,0.145495,15
91,0.684018,10.5302,0.147183,16
92,0.684018,10.5302,0.147183,16
93,0.684018,10.5302,0.147183,16
94,0.700828,10.568,0.146981,18
95,0.729381,10.4136,0.141223,19
96,0.688185,10.2614,0.132752,21
97,0.666212,10.4269,0.135546,22
98,0.666212,10.4269,0.135546,22
99,0.656366,10.3939,0.139511,23
100,0.656366,10.3939,0.139511,23
101,0.656366,10.3939,0.139511,23
102,0.656366,10.3939,0.139511,23
103,0.656366,10.3939,0.139511,23
104,0.656366,10.3939,0.139511,23
105,0.656366,10.3939,0.139511,23
106,0.656366,10.3939,0.139511,23
107,0.656366,10.3939,0.139511,23
108,0.656366,10.3939,0.139511,23
109,0.656366,10.3939,0.139511,23
110,0.678046,10.29,0.136027,24
111,0.678046,10.29,0.136027,24
112,0.618058,10.4233,0.128217,25
113,0.640405,10.153,0.134831,28
114,0.636411,9.95378,0.130754,31
