update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.13,1
1,0.5,10,0.13,1
2,0.5,10,0.13,1
3,0.5,10,0.13,1
4,0.5,10,0.13,1
5,0.5,10,0.13,1
6,0.5,10,0.13,1
7,0.5,10,0.13,1
8,0.5,10,0.13,1
9,0.5,10,0.13,1
10,0.5,10,0.13,1
11,0.5,10,0.13,1
12,0.5,10,0.13,1
13,0.5,10,0.13,1
14,0.5,10,0.13,1
15,0.5,10,0.13,1
16,0.5,10,0.13,1
17,0.5,10,0.13,1
18,0.5,10,0.13,1
19,0.5,10,0.13,1
20,0.5,9.88793,0.168908,2
21,0.5,9.88793,0.168908,2
22,0.5,9.88793,0.168908,2
23,0.5,9.88793,0.168908,2
24,0.5,9.88793,0.168908,2
25,0.5,9.88793,0.168908,2
26,0.5,9.88793,0.168908,2
27,0.5,9.88793,0.168908,2
28,0.5,9.88793,0.168908,2
29,0.5,9.88793,0.168908,2
30,0.5,9.88793,0.168908,2
31,0.5,9.88793,0.168908,2
32,0.5,9.88793,0.168908,2
33,0.5,9.88793,0.168908,2
34,0.5,9.88793,0.168908,2
35,0.5,9.88793,0.168908,2
36,0.5,9.88793,0.168908,2
37,0.5,9.88793,0.168908,2
38,0.5,9.88793,0.168908,2
39,0.5,9.88793,0.168908,2
40,0.439346,9.7792,0.204478,4
41,0.439346,9.7792,0.204478,4
42,0.439346,9.7792,0.204478,4
43,0.439346,9.7792,0.204478,4
44,0.439346,9.7792,0.204478,4
45,0.439346,9.7792,0.204478,4
46,0.439346,9.7792,0.204478,4
47,0.439346,9.7792,0.204478,4
48,0.439346,9.7792,0.204478,4
49,0.439346,9.7792,0.204478,4
50,0.439346,9.7792,0.204478,4
51,0.439346,9.7792,0.204478,4
52,0.439346,9.7792,0.204478,4
53,0.439346,9.7792,0.204478,4
54,0.439346,9.7792,0.204478,4
55,0.439346,9.7792,0.204478,4
56,0.439346,9.7792,0.204478,4
57,0.439346,9.7792,0.204478,4
58,0.439346,9.7792,0.204478,4
59,0.437785,10.1558,0.202117,7
60,0.383233,10.188,0.176852,8
61,0.383233,10.188,0.176852,8
62,0.383233,10.188,0.176852,8
63,0.383233,10.188,0.176852,8
64,0.383233,10.188,0.176852,8
65,0.383233,10.188,0.176852,8
66,0.383233,10.188,0.176852,8
67,0.383233,10.188,0.176852,8
68,0.383233,10.188,0.176852,8
69,0.383233,10.188,0.176852,8
70,0.383233,10.188,0.176852,8
71,0.383233,10.188,0.176852,8
72,0.383233,10.188,0.176852,8
73,0.383233,10.188,0.176852,8
74,0.383233,10.188,0.176852,8
75,0.383233,10.188,0.176852,8
76,0.383233,10.188,0.176852,8
77,0.428758,9.97391,0.159035,9
78,0.454501,10.0341,0.158464,8
79,0.493689,10.1513,0.166285,11
80,0.452434,10.1191,0.164385,12
81,0.417632,10.4723,0.15174,13
82,0.417632,10.4723,0.15174,13
83,0.417632,10.4723,0.15174,13
84,0.417632,10.4723,0.15174,13
85,0.417632,10.4723,0.15174,13
86,0.430585,10.6458,0.154019,14
87,0.430585,10.6458,0.154019,14
88,0.430585,10.6458,0.154019,14
89,0.430585,10.6458,0.154019,14
90,0.430585,10.6458,0.154019,14
91,0.430585,10.6458,0.154019,14
92,0.430585,10.6458,0.154019,14
93,0.430585,10.6458,0.154019,14
94,0.470423,10.4584,0.148639,15
95,0.50408,10.5645,0.153186,16
96,0.50408,10.5645,0.153186,16
97,0.514538,10.4501,0.162337,17
98,0.559933,10.4105,0.190048,21
99,0.559933,10.4105,0.190048,21
100,0.576316,10.5533,0.174007,24
101,0.576316,10.5533,0.174007,24
102,0.576316,10.5533,0.174007,24
103,0.576316,10.5533,0.174007,24
104,0.576316,10.5533,0.174007,24
105,0.557895,10.4294,0.167446,23
106,0.557895,10.4294,0.167446,23
107,0.557895,10.4294,0.167446,23
108,0.557895,10.4294,0.167446,23
109,0.557895,10.4294,0.167446,23
110,0.557895,10.4294,0.167446,23
111,0.513045,10.4163,0.166729,23
112,0.521497,10.5073,0.169104,25
113,0.500794,10.7772,0.173566,27
114,0.500794,10.7772,0.173566,27
115,0.495443,10.7769,0.175895,27
116,0.512968,10.5789,0.193182,29
117,0.49355,10.5107,0.186742,30
118,0.445425,10.3482,0.173799,33
119,0.449179,10.2947,0.168687,34
120,0.464409,10.3672,0.1606,37
121,0.452188,10.3643,0.160539,38
122,0.452188,10.3643,0.160539,38
123,0.452188,10.3643,0.160539,38
124,0.452188,10.3643,0.160539,38
125,0.452188,10.3643,0.160539,38
126,0.435333,10.2881,0.156422,39
127,0.429664,10.2151,0.152512,40
128,0.438166,10.3531,0.156863,40
129,0.438166,10.3531,0.156863,40
130,0.438166,10.3531,0.156863,40
131,0.438166,10.3531,0.156863,40
132,0.436445,10.4181,0.152979,40
133,0.451121,10.6237,0.154721,43
134,0.461124,10.4551,0.14993,47
135,0.445918,10.4232,0.1455,49
136,0.447313,10.3774,0.14259,50
137,0.438214,10.4188,0.135643,52
138,0.443837,10.433,0.131823,56
139,0.444496,10.422,0.135247,58
140,0.43927,10.4042,0.133373,59
141,0.439649,10.3496,0.132801,60
142,0.422567,10.3795,0.134548,64
143,0.421569,10.3409,0.134414,65
144,0.422636,10.5219,0.134006,68
145,0.419307,10.5824,0.13432,69
146,0.416768,10.5414,0.134968,68
147,0.416768,10.5414,0.134968,68
148,0.428435,10.447,0.140407,70
