update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.06,1
1,0.5,10,0.06,1
2,0.5,10,0.06,1
3,0.5,10,0.06,1
4,0.5,10,0.06,1
5,0.5,10,0.06,1
6,0.5,10,0.06,1
7,0.5,10,0.06,1
8,0.5,10,0.06,1
9,0.5,10,0.06,1
10,0.5,10,0.06,1
11,0.5,10,0.06,1
12,0.5,10,0.06,1
13,0.5,10,0.06,1
14,0.5,10,0.06,1
15,0.5,10,0.06,1
16,0.5,10,0.06,1
17,0.5,10,0.06,1
18,0.5,10,0.06,1
19,0.5,10,0.06,1
20,0.520364,9.80024,0.03,2
21,0.520364,9.80024,0.03,2
22,0.520364,9.80024,0.03,2
23,0.520364,9.80024,0.03,2
24,0.520364,9.80024,0.03,2
25,0.520364,9.80024,0.03,2
26,0.520364,9.80024,0.03,2
27,0.520364,9.80024,0.03,2
28,0.520364,9.80024,0.03,2
29,0.520364,9.80024,0.03,2
30,0.520364,9.80024,0.03,2
31,0.520364,9.80024,0.03,2
32,0.520364,9.80024,0.03,2
33,0.520364,9.80024,0.03,2
34,0.520364,9.80024,0.03,2
35,0.520364,9.80024,0.03,2
36,0.520364,9.80024,0.03,2
37,0.520364,9.80024,0.03,2
38,0.520364,9.80024,0.03,2
39,0.520364,9.80024,0.03,2
40,0.490739,9.65815,0.015,4
41,0.490739,9.65815,0.015,4
42,0.490739,9.65815,0.015,4
43,0.490739,9.65815,0.015,4
44,0.490739,9.65815,0.015,4
45,0.490739,9.65815,0.015,4
46,0.490739,9.65815,0.015,4
47,0.490739,9.65815,0.015,4
48,0.490739,9.65815,0.015,4
49,0.490739,9.65815,0.015,4
50,0.490739,9.65815,0.015,4
51,0.490739,9.65815,0.015,4
52,0.490739,9.65815,0.015,4
53,0.490739,9.65815,0.015,4
54,0.490739,9.65815,0.015,4
55,0.490739,9.65815,0.015,4
56,0.490739,9.65815,0.015,4
57,0.490739,9.65815,0.015,4
58,0.490739,9.65815,0.015,4
59,0.602721,9.51702,0.0190252,6
60,0.544303,9.40471,0.0357826,8
61,0.544303,9.40471,0.0357826,8
62,0.544303,9.40471,0.0357826,8
63,0.544303,9.40471,0.0357826,8
64,0.544303,9.40471,0.0357826,8
65,0.544303,9.40471,0.0357826,8
66,0.544303,9.40471,0.0357826,8
67,0.544303,9.40471,0.0357826,8
68,0.544303,9.40471,0.0357826,8
69,0.544303,9.40471,0.0357826,8
70,0.544303,9.40471,0.0357826,8
71,0.544303,9.40471,0.0357826,8
72,0.544303,9.40471,0.0357826,8
73,0.544303,9.40471,0.0357826,8
74,0.544303,9.40471,0.0357826,8
75,0.544303,9.40471,0.0357826,8
76,0.519193,9.32369,0.0362038,9
77,0.519193,9.32369,0.0362038,9
78,0.565485,9.29567,0.0361932,10
79,0.66808,9.1865,0.0523342,14
80,0.580503,9.22564,0.0477101,16
81,0.580503,9.22564,0.0477101,16
82,0.580503,9.22564,0.0477101,16
83,0.580503,9.22564,0.0477101,16
84,0.580503,9.22564,0.0477101,16
85,0.580503,9.22564,0.0477101,16
86,0.580503,9.22564,0.0477101,16
87,0.580503,9.22564,0.0477101,16
88,0.580503,9.22564,0.0477101,16
89,0.580503,9.22564,0.0477101,16
90,0.580503,9.22564,0.0477101,16
91,0.580503,9.22564,0.0477101,16
92,0.580503,9.22564,0.0477101,16
93,0.580503,9.22564,0.0477101,16
94,0.577015,9.15145,0.0466341,18
95,0.577015,9.15145,0.0466341,18
96,0.592069,9.023,0.0488487,21
97,0.566877,9.01943,0.0608912,23
98,0.594439,9.04094,0.0606556,27
99,0.5984,9.01859,0.057541,30
100,0.57928,9.03958,0.0578698,32
101,0.57928,9.03958,0.0578698,32
102,0.57928,9.03958,0.0578698,32
103,0.57928,9.03958,0.0578698,32
104,0.57928,9.03958,0.0578698,32
105,0.57928,9.03958,0.0578698,32
106,0.57928,9.03958,0.0578698,32
107,0.57928,9.03958,0.0578698,32
108,0.57928,9.03958,0.0578698,32
109,0.57928,9.03958,0.0578698,32
110,0.57928,9.03958,0.0578698,32
111,0.556582,8.99523,0.0576967,34
112,0.570275,8.91171,0.0560546,37
113,0.577988,8.84917,0.0557103,40
