update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.08,1
1,0.5,10,0.08,1
2,0.5,10,0.08,1
3,0.5,10,0.08,1
4,0.5,10,0.08,1
5,0.5,10,0.08,1
6,0.5,10,0.08,1
7,0.5,10,0.08,1
8,0.5,10,0.08,1
9,0.5,10,0.08,1
10,0.5,10,0.08,1
11,0.5,10,0.08,1
12,0.5,10,0.08,1
13,0.5,10,0.08,1
14,0.5,10,0.08,1
15,0.5,10,0.08,1
16,0.5,10,0.08,1
17,0.5,10,0.08,1
18,0.5,10,0.08,1
19,0.5,10,0.08,1
20,0.0334222,9.67044,0.0667607,2
21,0.0334222,9.67044,0.0667607,2
22,0.0334222,9.67044,0.0667607,2
23,0.0334222,9.67044,0.0667607,2
24,0.0334222,9.67044,0.0667607,2
25,0.0334222,9.67044,0.0667607,2
26,0.0334222,9.67044,0.0667607,2
27,0.0334222,9.67044,0.0667607,2
28,0.0334222,9.67044,0.0667607,2
29,0.0334222,9.67044,0.0667607,2
30,0.0334222,9.67044,0.0667607,2
31,0.0334222,9.67044,0.0667607,2
32,0.0334222,9.67044,0.0667607,2
33,0.0334222,9.67044,0.0667607,2
34,0.0334222,9.67044,0.0667607,2
35,0.0334222,9.67044,0.0667607,2
36,0.0334222,9.67044,0.0667607,2
37,0.0334222,9.67044,0.0667607,2
38,0.0334222,9.67044,0.0667607,2
39,0.27087,9.45579,0.0445071,3
40,0.253355,9.61828,0.0471603,4
41,0.253355,9.61828,0.0471603,4
42,0.253355,9.61828,0.0471603,4
43,0.253355,9.61828,0.0471603,4
44,0.253355,9.61828,0.0471603,4
45,0.253355,9.61828,0.0471603,4
46,0.253355,9.61828,0.0471603,4
47,0.253355,9.61828,0.0471603,4
48,0.253355,9.61828,0.0471603,4
49,0.253355,9.61828,0.0471603,4
50,0.253355,9.61828,0.0471603,4
51,0.253355,9.61828,0.0471603,4
52,0.253355,9.61828,0.0471603,4
53,0.253355,9.61828,0.0471603,4
54,0.253355,9.61828,0.0471603,4
55,0.253355,9.61828,0.0471603,4
56,0.253355,9.61828,0.0471603,4
57,0.331309,9.5399,0.0545634,5
58,0.47399,9.4891,0.0580612,6
59,0.47399,9.4891,0.0580612,6
60,0.485003,9.5772,0.0497668,7
61,0.399276,9.61279,0.0437603,8
62,0.399276,9.61279,0.0437603,8
63,0.399276,9.61279,0.0437603,8
64,0.399276,9.61279,0.0437603,8
65,0.399276,9.61279,0.0437603,8
66,0.399276,9.61279,0.0437603,8
67,0.399276,9.61279,0.0437603,8
68,0.399276,9.61279,0.0437603,8
69,0.399276,9.61279,0.0437603,8
70,0.399276,9.61279,0.0437603,8
71,0.399276,9.61279,0.0437603,8
72,0.399276,9.61279,0.0437603,8
73,0.399276,9.61279,0.0437603,8
74,0.399276,9.61279,0.0437603,8
75,0.399276,9.61279,0.0437603,8
76,0.406641,9.50933,0.0612214,10
77,0.399427,9.37766,0.0555835,12
78,0.399427,9.37766,0.0555835,12
79,0.399427,9.37766,0.0555835,12
80,0.368702,9.3608,0.0513078,13
81,0.362479,9.46013,0.0449036,15
82,0.339824,9.50237,0.0498606,16
83,0.339824,9.50237,0.0498606,16
84,0.339824,9.50237,0.0498606,16
85,0.339824,9.50237,0.0498606,16
86,0.339824,9.50237,0.0498606,16
87,0.339824,9.50237,0.0498606,16
88,0.339824,9.50237,0.0498606,16
89,0.339824,9.50237,0.0498606,16
90,0.339824,9.50237,0.0498606,16
91,0.339824,9.50237,0.0498606,16
92,0.339824,9.50237,0.0498606,16
93,0.339824,9.50237,0.0498606,16
94,0.384966,9.3936,0.0500118,19
95,0.318119,9.34291,0.0561319,23
96,0.357523,9.32467,0.0606042,24
97,0.357523,9.32467,0.0606042,24
98,0.357523,9.32467,0.0606042,24
99,0.363232,9.30945,0.058395,25
100,0.349262,9.3252,0.056149,26
101,0.331139,9.36948,0.0521384,28
102,0.372944,9.42844,0.0577625,31
103,0.389714,9.45055,0.0635996,32
104,0.389714,9.45055,0.0635996,32
105,0.389714,9.45055,0.0635996,32
106,0.389714,9.45055,0.0635996,32
107,0.389714,9.45055,0.0635996,32
108,0.389714,9.45055,0.0635996,32
109,0.389714,9.45055,0.0635996,32
110,0.389714,9.45055,0.0635996,32
111,0.38873,9.43432,0.0616723,33
112,0.406284,9.33959,0.0645588,38
113,0.407203,9.27797,0.062519,43
114,0.402225,9.25013,0.0688338,47
115,0.40406,9.23943,0.0684905,48
116,0.40406,9.23943,0.0684905,48
117,0.40332,9.2334,0.0670928,49
118,0.404461,9.23579,0.066044,50
119,0.397023,9.23296,0.0647491,51
120,0.396326,9.24231,0.0635039,52
121,0.39143,9.26848,0.0663707,54
122,0.407691,9.31895,0.0648528,58
123,0.397713,9.37155,0.0698706,63
