update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.06,1
1,0.5,10,0.06,1
2,0.5,10,0.06,1
3,0.5,10,0.06,1
4,0.5,10,0.06,1
5,0.5,10,0.06,1
6,0.5,10,0.06,1
7,0.5,10,0.06,1
8,0.5,10,0.06,1
9,0.5,10,0.06,1
10,0.5,10,0.06,1
11,0.5,10,0.06,1
12,0.5,10,0.06,1
13,0.5,10,0.06,1
14,0.5,10,0.06,1
15,0.5,10,0.06,1
16,0.5,10,0.06,1
17,0.5,10,0.06,1
18,0.5,10,0.06,1
19,0.5,10,0.06,1
20,0.374286,10,0.0855163,2
21,0.374286,10,0.0855163,2
22,0.374286,10,0.0855163,2
23,0.374286,10,0.0855163,2
24,0.374286,10,0.0855163,2
25,0.374286,10,0.0855163,2
26,0.374286,10,0.0855163,2
27,0.374286,10,0.0855163,2
28,0.374286,10,0.0855163,2
29,0.374286,10,0.0855163,2
30,0.374286,10,0.0855163,2
31,0.374286,10,0.0855163,2
32,0.374286,10,0.0855163,2
33,0.374286,10,0.0855163,2
34,0.374286,10,0.0855163,2
35,0.374286,10,0.0855163,2
36,0.374286,10,0.0855163,2
37,0.374286,10,0.0855163,2
38,0.374286,10,0.0855163,2
39,0.374286,10,0.0855163,2
40,0.334775,12.3648,0.143021,4
41,0.334775,12.3648,0.143021,4
42,0.334775,12.3648,0.143021,4
43,0.334775,12.3648,0.143021,4
44,0.334775,12.3648,0.143021,4
45,0.334775,12.3648,0.143021,4
46,0.334775,12.3648,0.143021,4
47,0.334775,12.3648,0.143021,4
48,0.334775,12.3648,0.143021,4
49,0.334775,12.3648,0.143021,4
50,0.334775,12.3648,0.143021,4
51,0.334775,12.3648,0.143021,4
52,0.334775,12.3648,0.143021,4
53,0.334775,12.3648,0.143021,4
54,0.334775,12.3648,0.143021,4
55,0.334775,12.3648,0.143021,4
56,0.334775,12.3648,0.143021,4
57,0.334775,12.3648,0.143021,4
58,0.334775,12.3648,0.143021,4
59,0.426218,14.1978,0.13748,5
60,0.381023,14.8334,0.130945,6
61,0.381023,14.8334,0.130945,6
62,0.381023,14.8334,0.130945,6
63,0.381023,14.8334,0.130945,6
64,0.381023,14.8334,0.130945,6
65,0.381023,14.8334,0.130945,6
66,0.381023,14.8334,0.130945,6
67,0.381023,14.8334,0.130945,6
68,0.381023,14.8334,0.130945,6
69,0.326591,14.7577,0.147201,7
70,0.326591,14.7577,0.147201,7
71,0.437408,15.9598,0.128801,8
72,0.437408,15.9598,0.128801,8
73,0.437408,15.9598,0.128801,8
74,0.437408,15.9598,0.128801,8
75,0.437408,15.9598,0.128801,8
76,0.437408,15.9598,0.128801,8
77,0.437408,15.9598,0.128801,8
78,0.437408,15.9598,0.128801,8
79,0.437408,15.9598,0.128801,8
80,0.389853,15.7327,0.11449,9
81,0.389853,15.7327,0.11449,9
82,0.389853,15.7327,0.11449,9
83,0.389853,15.7327,0.11449,9
84,0.389853,15.7327,0.11449,9
85,0.389853,15.7327,0.11449,9
86,0.389853,15.7327,0.11449,9
87,0.389853,15.7327,0.11449,9
88,0.389853,15.7327,0.11449,9
89,0.389853,15.7327,0.11449,9
90,0.389853,15.7327,0.11449,9
91,0.379363,16.3741,0.12557,11
92,0.379363,16.3741,0.12557,11
93,0.379363,16.3741,0.12557,11
94,0.379363,16.3741,0.12557,11
95,0.379363,16.3741,0.12557,11
96,0.385777,16.9943,0.115835,12
97,0.359175,16.9213,0.129878,13
98,0.33352,17.1349,0.140182,14
99,0.311251,16.6592,0.131374,15
100,0.311251,16.6592,0.131374,15
101,0.311251,16.6592,0.131374,15
102,0.311251,16.6592,0.131374,15
103,0.311251,16.6592,0.131374,15
104,0.311251,16.6592,0.131374,15
105,0.311251,16.6592,0.131374,15
106,0.311251,16.6592,0.131374,15
107,0.311251,16.6592,0.131374,15
108,0.281551,17.0877,0.123163,16
109,0.281551,17.0877,0.123163,16
110,0.281551,17.0877,0.123163,16
111,0.264861,17.7188,0.110295,18
112,0.264861,17.7188,0.110295,18
113,0.264861,17.7188,0.110295,18
114,0.264861,17.7188,0.110295,18
115,0.264861,17.7188,0.110295,18
116,0.264861,17.7188,0.110295,18
