update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.08,1
1,0.5,10,0.08,1
2,0.5,10,0.08,1
3,0.5,10,0.08,1
4,0.5,10,0.08,1
5,0.5,10,0.08,1
6,0.5,10,0.08,1
7,0.5,10,0.08,1
8,0.5,10,0.08,1
9,0.5,10,0.08,1
10,0.5,10,0.08,1
11,0.5,10,0.08,1
12,0.5,10,0.08,1
13,0.5,10,0.08,1
14,0.5,10,0.08,1
15,0.5,10,0.08,1
16,0.5,10,0.08,1
17,0.5,10,0.08,1
18,0.5,10,0.08,1
19,0.5,10,0.08,1
20,0.491504,10,0.0911606,2
21,0.491504,10,0.0911606,2
22,0.491504,10,0.0911606,2
23,0.491504,10,0.0911606,2
24,0.491504,10,0.0911606,2
25,0.491504,10,0.0911606,2
26,0.491504,10,0.0911606,2
27,0.491504,10,0.0911606,2
28,0.491504,10,0.0911606,2
29,0.491504,10,0.0911606,2
30,0.491504,10,0.0911606,2
31,0.491504,10,0.0911606,2
32,0.491504,10,0.0911606,2
33,0.491504,10,0.0911606,2
34,0.491504,10,0.0911606,2
35,0.491504,10,0.0911606,2
36,0.491504,10,0.0911606,2
37,0.491504,10,0.0911606,2
38,0.491504,10,0.0911606,2
39,0.491504,10,0.0911606,2
40,0.446341,11.3822,0.126393,4
41,0.446341,11.3822,0.126393,4
42,0.446341,11.3822,0.126393,4
43,0.446341,11.3822,0.126393,4
44,0.446341,11.3822,0.126393,4
45,0.446341,11.3822,0.126393,4
46,0.446341,11.3822,0.126393,4
47,0.446341,11.3822,0.126393,4
48,0.446341,11.3822,0.126393,4
49,0.446341,11.3822,0.126393,4
50,0.446341,11.3822,0.126393,4
51,0.446341,11.3822,0.126393,4
52,0.446341,11.3822,0.126393,4
53,0.446341,11.3822,0.126393,4
54,0.446341,11.3822,0.126393,4
55,0.446341,11.3822,0.126393,4
56,0.446341,11.3822,0.126393,4
57,0.446341,11.3822,0.126393,4
58,0.446341,11.3822,0.126393,4
59,0.446341,11.3822,0.126393,4
60,0.427679,12.4966,0.11274,7
61,0.427679,12.4966,0.11274,7
62,0.427679,12.4966,0.11274,7
63,0.427679,12.4966,0.11274,7
64,0.427679,12.4966,0.11274,7
65,0.427679,12.4966,0.11274,7
66,0.427679,12.4966,0.11274,7
67,0.427679,12.4966,0.11274,7
68,0.427679,12.4966,0.11274,7
69,0.427679,12.4966,0.11274,7
70,0.427679,12.4966,0.11274,7
71,0.427679,12.4966,0.11274,7
72,0.525761,12.738,0.135943,8
73,0.525761,12.738,0.135943,8
74,0.525761,12.738,0.135943,8
75,0.525761,12.738,0.135943,8
76,0.525761,12.738,0.135943,8
77,0.525761,12.738,0.135943,8
78,0.525761,12.738,0.135943,8
79,0.525761,12.738,0.135943,8
80,0.414272,12.1829,0.108755,10
81,0.446481,12.4824,0.120529,11
82,0.446481,12.4824,0.120529,11
83,0.446481,12.4824,0.120529,11
84,0.446481,12.4824,0.120529,11
85,0.515203,12.4266,0.115415,11
86,0.515203,12.4266,0.115415,11
87,0.515203,12.4266,0.115415,11
88,0.515203,12.4266,0.115415,11
89,0.515203,12.4266,0.115415,11
90,0.515203,12.4266,0.115415,11
91,0.515203,12.4266,0.115415,11
92,0.515203,12.4266,0.115415,11
93,0.53509,12.7807,0.108396,12
94,0.53509,12.7807,0.108396,12
95,0.53509,12.7807,0.108396,12
96,0.53509,12.7807,0.108396,12
97,0.53509,12.7807,0.108396,12
98,0.53509,12.7807,0.108396,12
99,0.516808,12.5527,0.108883,13
100,0.472173,12.4731,0.118581,16
101,0.489618,12.3326,0.129606,17
102,0.472967,12.8252,0.134196,18
103,0.500706,12.9407,0.136592,19
104,0.500706,12.9407,0.136592,19
105,0.500706,12.9407,0.136592,19
106,0.500706,12.9407,0.136592,19
107,0.500706,12.9407,0.136592,19
108,0.500706,12.9407,0.136592,19
109,0.528485,13.3943,0.134568,20
110,0.512515,13.6684,0.133939,21
111,0.512515,13.6684,0.133939,21
112,0.499583,13.9367,0.143407,22
113,0.499583,13.9367,0.143407,22
114,0.499583,13.9367,0.143407,22
115,0.499583,13.9367,0.143407,22
116,0.499583,13.9367,0.143407,22
117,0.499583,13.9367,0.143407,22
118,0.499583,13.9367,0.143407,22
119,0.506642,13.4184,0.134591,25
120,0.491639,13.285,0.129394,26
121,0.471305,13.413,0.12233,25
122,0.470679,13.2655,0.128314,26
123,0.470679,13.2655,0.128314,26
124,0.454914,13.4286,0.123562,27
125,0.454914,13.4286,0.123562,27
126,0.454914,13.4286,0.123562,27
127,0.455619,13.7216,0.117761,29
128,0.455619,13.7216,0.117761,29
129,0.455619,13.7216,0.117761,29
130,0.464208,13.7596,0.116535,30
131,0.464208,13.7596,0.116535,30
132,0.475376,13.794,0.125406,31
