update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0,1
1,0.5,10,0,1
2,0.5,10,0,1
3,0.5,10,0,1
4,0.5,10,0,1
5,0.5,10,0,1
6,0.5,10,0,1
7,0.5,10,0,1
8,0.5,10,0,1
9,0.5,10,0,1
10,0.5,10,0,1
11,0.5,10,0,1
12,0.5,10,0,1
13,0.5,10,0,1
14,0.5,10,0,1
15,0.5,10,0,1
16,0.5,10,0,1
17,0.5,10,0,1
18,0.5,10,0,1
19,0.5,10,0,1
20,0.219977,9.77363,0,2
21,0.219977,9.77363,0,2
22,0.219977,9.77363,0,2
23,0.219977,9.77363,0,2
24,0.219977,9.77363,0,2
25,0.219977,9.77363,0,2
26,0.219977,9.77363,0,2
27,0.219977,9.77363,0,2
28,0.219977,9.77363,0,2
29,0.219977,9.77363,0,2
30,0.219977,9.77363,0,2
31,0.219977,9.77363,0,2
32,0.219977,9.77363,0,2
33,0.219977,9.77363,0,2
34,0.219977,9.77363,0,2
35,0.219977,9.77363,0,2
36,0.219977,9.77363,0,2
37,0.219977,9.77363,0,2
38,0.219977,9.77363,0,2
39,0.273759,9.53884,0,3
40,0.262586,9.65413,0,4
41,0.262586,9.65413,0,4
42,0.262586,9.65413,0,4
43,0.262586,9.65413,0,4
44,0.262586,9.65413,0,4
45,0.262586,9.65413,0,4
46,0.262586,9.65413,0,4
47,0.262586,9.65413,0,4
48,0.262586,9.65413,0,4
49,0.262586,9.65413,0,4
50,0.262586,9.65413,0,4
51,0.262586,9.65413,0,4
52,0.262586,9.65413,0,4
53,0.262586,9.65413,0,4
54,0.262586,9.65413,0,4
55,0.262586,9.65413,0,4
56,0.262586,9.65413,0,4
57,0.262586,9.65413,0,4
58,0.338239,9.53715,0.00550664,5
59,0.467031,9.60472,0.00393331,7
60,0.418537,9.65413,0.0265019,8
61,0.418537,9.65413,0.0265019,8
62,0.418537,9.65413,0.0265019,8
63,0.418537,9.65413,0.0265019,8
64,0.418537,9.65413,0.0265019,8
65,0.418537,9.65413,0.0265019,8
66,0.418537,9.65413,0.0265019,8
67,0.418537,9.65413,0.0265019,8
68,0.418537,9.65413,0.0265019,8
69,0.418537,9.65413,0.0265019,8
70,0.418537,9.65413,0.0265019,8
71,0.418537,9.65413,0.0265019,8
72,0.418537,9.65413,0.0265019,8
73,0.418537,9.65413,0.0265019,8
74,0.418537,9.65413,0.0265019,8
75,0.418537,9.65413,0.0265019,8
76,0.42696,9.58914,0.0255239,9
77,0.53979,9.42586,0.0229715,10
78,0.53979,9.42586,0.0229715,10
79,0.505058,9.55064,0.0241545,15
80,0.475642,9.57872,0.0235629,16
81,0.475642,9.57872,0.0235629,16
82,0.475642,9.57872,0.0235629,16
83,0.475642,9.57872,0.0235629,16
84,0.475642,9.57872,0.0235629,16
85,0.475642,9.57872,0.0235629,16
86,0.475642,9.57872,0.0235629,16
