update,mean_coopval,mean_foodval,count
885,0.437173,300,2
886,0.437173,300,2
887,0.437173,300,2
888,0.437173,300,2
889,0.437173,300,2
890,0.437173,300,2
891,0.437173,300,2
892,0.437173,300,2
893,0.437173,300,2
894,0.437173,300,2
895,0.437173,300,2
896,0.437173,300,2
897,0.437173,300,2
898,0.437173,300,2
899,0.437173,300,2
900,0.437173,300,2
901,0.437173,300,2
902,0.437173,300,2
903,0.437173,300,2
904,0.437173,300,2
905,0.437173,300,2
906,0.437173,300,2
907,0.437173,300,2
908,0.437173,300,2
909,0.437173,300,2
910,0.437173,300,2
911,0.437173,300,2
912,0.437173,300,2
913,0.437173,300,2
914,0.437173,300,2
915,0.437173,300,2
916,0.437173,300,2
917,0.437173,300,2
918,0.437173,300,2
919,0.437173,300,2
920,0.437173,300,2
921,0.437173,300,2
922,0.437173,300,2
923,0.437173,300,2
924,0.437173,300,2
925,0.437173,300,2
926,0.437173,300,2
927,0.437173,300,2
928,0.437173,300,2
929,0.437173,300,2
930,0.437173,300,2
931,0.437173,300,2
932,0.437173,300,2
933,0.437173,300,2
934,0.437173,300,2
935,0.437173,300,2
936,0.437173,300,2
937,0.437173,300,2
938,0.437173,300,2
939,0.437173,300,2
940,0.437173,300,2
941,0.437173,300,2
942,0.437173,300,2
943,0.437173,300,2
944,0.437173,300,2
945,0.437173,300,2
946,0.437173,300,2
947,0.437173,300,2
948,0.437173,300,2
949,0.437173,300,2
950,0.437173,300,2
951,0.437173,300,2
952,0.437173,300,2
953,0.437173,300,2
954,0.437173,300,2
955,0.437173,300,2
956,0.437173,300,2
957,0.437173,300,2
958,0.437173,300,2
959,0.437173,300,2
960,0.437173,300,2
961,0.437173,300,2
962,0.437173,300,2
963,0.437173,300,2
964,0.437173,300,2
965,0.437173,300,2
966,0.437173,300,2
967,0.437173,300,2
968,0.437173,300,2
969,0.437173,300,2
970,0.437173,300,2
971,0.437173,300,2
972,0.437173,300,2
973,0.437173,300,2
974,0.437173,300,2
975,0.437173,300,2
976,0.437173,300,2
977,0.437173,300,2
978,0.437173,300,2
979,0.437173,300,2
980,0.437173,300,2
981,0.437173,300,2
982,0.437173,300,2
983,0.437173,300,2
984,0.437173,300,2
985,0.437173,300,2
986,0.437173,300,2
987,0.437173,300,2
988,0.437173,300,2
989,0.437173,300,2
990,0.437173,300,2
991,0.437173,300,2
992,0.437173,300,2
993,0.437173,300,2
994,0.437173,300,2
995,0.437173,300,2
996,0.437173,300,2
997,0.437173,300,2
998,0.437173,300,2
999,0.437173,300,2
